program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
MSc Advanced Computer Science,Aston University,Birmingham,GB,DEGREE,PG,Computer Science,12,24800,,,1|4|9,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Business Analytics,Aston University,Birmingham,GB,DEGREE,PG,Business Analytics,12,25500,,,1|4|9,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Advanced Computer Science,Bangor University,Bangor,GB,DEGREE,PG,Computer Science,12,20500,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
Master of Business Administration,Bangor University,Bangor,GB,DEGREE,PG,Business and Management,,20500,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Electronic Engineering,Bangor University,Bangor,GB,DEGREE,PG,Electrical and Electronic Engineering,,20500,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Adult Nursing,Bangor University,Bangor,GB,NURSING,PG,Nursing,,21000,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
BSc Computer Science,Bangor University,Bangor,GB,DEGREE,UG,Computer Science,,20000,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
BSc Business,Bangor University,Bangor,GB,DEGREE,UG,Business and Management,,19000,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
BSc Nursing,Bangor University,Bangor,GB,NURSING,UG,Nursing,,21000,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science and Analytics,Brunel University of London,Uxbridge,GB,DEGREE,PG,Data Science,12,24795,,,1|9,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MBA Business Administration,Brunel University of London,Uxbridge,GB,DEGREE,PG,Business and Management,12,29500,,,1|9,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science,Cardiff Metropolitan University,Cardiff,GB,DEGREE,PG,Data Science,,17600,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
Master of Business Administration,Cardiff Metropolitan University,Cardiff,GB,DEGREE,PG,Business and Management,12,19500,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Advanced Computer Science,Cardiff Metropolitan University,Cardiff,GB,DEGREE,PG,Computer Science,,17600,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Advanced Cyber Security,Cardiff Metropolitan University,Cardiff,GB,DEGREE,PG,Cybersecurity,,17600,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Advanced Computer Science,University of Chester,Chester,GB,DEGREE,PG,Computer Science,12,15500,,,1|5|10,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Cybersecurity,University of Chester,Chester,GB,DEGREE,PG,Cybersecurity,,15500,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science and Engineering,University of Dundee,Dundee,GB,DEGREE,PG,Data Science,,23700,,,1|9,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Computer Science,University of East London,London,GB,DEGREE,PG,Computer Science,12,17220,,,1|5|9,6.0,,,,,,,UNKNOWN,,,DRAFT
MSc AI and Data Science,University of East London,London,GB,DEGREE,PG,Artificial Intelligence,,17220,,,9,6.0,,,,,,,UNKNOWN,,,DRAFT
MSc Public Health,University of East London,London,GB,DEGREE,PG,Public Health,12,17700,,,1|9,6.5,,,,,,,UNKNOWN,,,DRAFT
MSc Project Management,University of East London,London,GB,DEGREE,PG,Project Management,,18900,,,1|9,6.0,,,,,,,UNKNOWN,,,DRAFT
BSc (Hons) Nursing (Adult),University of East London,London,GB,NURSING,UG,Nursing,36,,,,3|9,7.0,,,,,,,UNKNOWN,,,DRAFT
MSc Artificial Intelligence and Data Science,Edinburgh Napier University,Edinburgh,GB,DEGREE,PG,Artificial Intelligence,12,22285,,,9,,,,,,,,UNKNOWN,,,DRAFT
MSc Artificial Intelligence and Data Science,Keele University,Keele,GB,DEGREE,PG,Artificial Intelligence,12,18200,,,1|9,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Computer Science,University of Kent,Canterbury,GB,DEGREE,PG,Computer Science,12,,,,9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science,Kingston University London,Kingston upon Thames,GB,DEGREE,PG,Data Science,,20000,,,9,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Artificial Intelligence,Kingston University London,Kingston upon Thames,GB,DEGREE,PG,Artificial Intelligence,,20000,,,,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science,Leeds Beckett University,Leeds,GB,DEGREE,PG,Data Science,12,18440,,,9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Artificial Intelligence and Data Science,Leeds Beckett University,Leeds,GB,DEGREE,PG,Artificial Intelligence,12,18440,,,9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MBA Master of Business Administration,Leeds Beckett University,Leeds,GB,DEGREE,PG,Business and Management,20,19060,,,9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Computer Science,University of Lincoln,Lincoln,GB,DEGREE,PG,Computer Science,12,,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Cloud Computing,University of Lincoln,Lincoln,GB,DEGREE,PG,Cloud Computing,12,,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science,Liverpool John Moores University,Liverpool,GB,DEGREE,PG,Data Science,12,18250,,,,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Artificial Intelligence,London Metropolitan University,London,GB,DEGREE,PG,Artificial Intelligence,,,,,1|9,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science,Manchester Metropolitan University,Manchester,GB,DEGREE,PG,Data Science,,21000,,,9,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Business Analytics,Manchester Metropolitan University,Manchester,GB,DEGREE,PG,Business Analytics,12,21000,,,1|9,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Computer Science,Manchester Metropolitan University,Manchester,GB,DEGREE,PG,Computer Science,,21000,,,9,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Cyber Security,Manchester Metropolitan University,Manchester,GB,DEGREE,PG,Cybersecurity,,21000,,,9,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Computing,University of Northampton,Northampton,GB,DEGREE,PG,Computer Science,12,19000,,,2|9,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc International Business Management,University of Northampton,Northampton,GB,DEGREE,PG,Business and Management,12,19000,,,1|9,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science,University of Plymouth,Plymouth,GB,DEGREE,PG,Data Science,12,21650,,,1|9,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Cyber Security,University of Plymouth,Plymouth,GB,DEGREE,PG,Cybersecurity,12,21650,,,,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science and Business Analytics,University of Plymouth,Plymouth,GB,DEGREE,PG,Business Analytics,12,21650,,,,6.5,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science,Robert Gordon University,Aberdeen,GB,DEGREE,PG,Data Science,,21090,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Business Analytics,Robert Gordon University,Aberdeen,GB,DEGREE,PG,Business Analytics,12,18030,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Cyber Security,Robert Gordon University,Aberdeen,GB,DEGREE,PG,Cybersecurity,,19630,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Information Technology with Artificial Intelligence,Robert Gordon University,Aberdeen,GB,DEGREE,PG,Artificial Intelligence,,19630,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
BSc Nursing - Adult,Robert Gordon University,Aberdeen,GB,NURSING,UG,Nursing,36,17080,,,9,7.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science,University of Roehampton,London,GB,DEGREE,PG,Data Science,12,18980,,,1|9,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Computing,University of Roehampton,London,GB,DEGREE,PG,Computer Science,12,18980,,,1|9,,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Data Science,University of Salford,Salford,GB,DEGREE,PG,Data Science,12,19980,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc International Business,University of Salford,Salford,GB,DEGREE,PG,Business and Management,12,16980,,,1|6|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Project Management,University of Salford,Salford,GB,DEGREE,PG,Project Management,12,16980,,,1|6|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Computer Science,University of Staffordshire,Stoke-on-Trent,GB,DEGREE,PG,Computer Science,12,17700,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Cyber Security,University of Staffordshire,Stoke-on-Trent,GB,DEGREE,PG,Cybersecurity,12,17700,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
Master of Business Administration,University of Staffordshire,Stoke-on-Trent,GB,DEGREE,PG,Business and Management,12,,,,1|9,6.0,,,,,,,ELIGIBLE,"Graduate Route, 2 yrs (18 months from Jan 2027)",,DRAFT
MSc Applied Computing,University of Sunderland,Sunderland,GB,DEGREE,PG,Computer Science,,19000,,,,,,,,,,,UNKNOWN,,,DRAFT
MSc Applied Cybersecurity,University of Sunderland,Sunderland,GB,DEGREE,PG,Cybersecurity,,19000,,,,,,,,,,,UNKNOWN,,,DRAFT
MSc Applied Data Science,University of Sunderland,Sunderland,GB,DEGREE,PG,Data Science,,19000,,,,,,,,,,,UNKNOWN,,,DRAFT
MSc Applied Project Management,University of Sunderland,Sunderland,GB,DEGREE,PG,Project Management,,19000,,,,,,,,,,,UNKNOWN,,,DRAFT
MSc Computing,University of Sunderland,Sunderland,GB,DEGREE,PG,Computer Science,,18000,,,,,,,,,,,UNKNOWN,,,DRAFT
