program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
Computer Programming,Confederation College,Thunder Bay,CA,DEGREE,UG_DIPLOMA,Computer Science,24,18586,,,9|1,6.0,,,,,,,ELIGIBLE,Page states program meets IRCC PGWP criteria,,DRAFT
Health Informatics,Confederation College,Thunder Bay,CA,DEGREE,PG_DIPLOMA,Computer Science,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-eligible list,,DRAFT
Health Administration and Leadership,Confederation College,Thunder Bay,CA,DEGREE,PG_DIPLOMA,Public Health,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-eligible list,,DRAFT
Honours Bachelor of Science in Nursing,Confederation College,Thunder Bay,CA,NURSING,UG,Nursing,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-eligible list,,DRAFT
Practical Nursing,Confederation College,Thunder Bay,CA,NURSING,UG_DIPLOMA,Nursing,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-eligible list,,DRAFT
Civil Engineering Technician,Confederation College,Thunder Bay,CA,DEGREE,UG_DIPLOMA,Engineering,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-eligible list,,DRAFT
Mechanical Engineering Technician,Confederation College,Thunder Bay,CA,DEGREE,UG_DIPLOMA,Engineering,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-eligible list,,DRAFT
Electrical Engineering Technician,Confederation College,Thunder Bay,CA,DEGREE,UG_DIPLOMA,Engineering,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-eligible list,,DRAFT
Interactive Media Development,Confederation College,Thunder Bay,CA,DEGREE,UG_DIPLOMA,Computer Science,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-eligible list,,DRAFT
Computer Programming and Analysis,St. Lawrence College,Kingston,CA,DEGREE,UG_DIPLOMA,Computer Science,36,17428,,,1|9,,,,,,,,ELIGIBLE,On college's published PGWP-aligned list,,DRAFT
Computer Programming,St. Lawrence College,Kingston,CA,DEGREE,UG_DIPLOMA,Computer Science,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-aligned list,,DRAFT
Computer Systems Technician,St. Lawrence College,Kingston,CA,DEGREE,UG_DIPLOMA,Computer Science,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-aligned list,,DRAFT
Cybersecurity,St. Lawrence College,Kingston,CA,DEGREE,UG_DIPLOMA,Cybersecurity,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-aligned list,,DRAFT
User Experience Design,St. Lawrence College,Kingston,CA,DEGREE,UG_DIPLOMA,Computer Science,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-aligned list,,DRAFT
Digital Marketing Communications,St. Lawrence College,Kingston,CA,DEGREE,UG_DIPLOMA,Management,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-aligned list,,DRAFT
Civil Engineering Technology,St. Lawrence College,Kingston,CA,DEGREE,UG_DIPLOMA,Engineering,,,,,,,,,,,,,ELIGIBLE,On college's published PGWP-aligned list,,DRAFT
